% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.571	1	1	58	2	2	28	1095	0
0.572	1	2	58	3	1	28	1095	0
0.572	1	1	58	3	2	28	1095	0
0.573	1	2	58	4	1	28	1095	0
0.573	1	1	58	4	2	28	1095	0
0.574	1	2	58	5	1	28	1095	0
0.574	1	1	58	5	2	28	1095	0
0.575	1	2	58	6	1	28	1095	0
0.575	1	1	58	6	2	28	1095	0
0.576	1	2	58	7	1	28	1095	0
0.576	1	1	58	7	2	28	1095	0
0.577	1	2	58	8	1	28	1095	0
0.577	1	1	58	8	2	28	1095	0
0.578	1	2	58	9	1	28	1095	0
0.578	1	1	58	9	2	28	1095	0
0.579	1	2	58	10	1	28	1095	0
0.579	1	1	58	10	2	28	1095	0
0.58	1	2	59	1	1	28	1095	0
0.58	1	1	59	1	2	28	1095	0
0.581	1	2	59	2	1	28	1095	0
0.581	1	1	59	2	2	28	1095	0
0.582	1	2	59	3	1	28	1095	0
0.582	1	1	59	3	2	28	1095	0
0.583	1	2	59	4	1	28	1095	0
0.583	1	1	59	4	2	28	1095	0
0.584	1	2	59	5	1	28	1095	0
0.584	1	1	59	5	2	28	1095	0
0.585	1	2	59	6	1	28	1095	0
0.585	1	1	59	6	2	28	1095	0
0.586	1	2	59	7	1	28	1095	0
0.586	1	1	59	7	2	28	1095	0
0.587	1	2	59	8	1	28	1095	0
0.587	1	1	59	8	2	28	1095	0
0.588	1	2	59	9	1	28	1095	0
0.588	1	1	59	9	2	28	1095	0
0.589	1	2	59	10	1	28	1095	0
0.589	1	1	59	10	2	28	1095	0
0.59	1	2	60	1	1	28	1095	0
0.59	1	1	60	1	2	28	1095	0
0.591	1	2	60	2	1	28	1095	0
0.591	1	1	60	2	2	28	1095	0
0.592	1	2	60	3	1	28	1095	0
0.592	1	1	60	3	2	28	1095	0
0.593	1	2	60	4	1	28	1095	0
0.593	1	1	60	4	2	28	1095	0
0.594	1	2	60	5	1	28	1095	0
0.594	1	1	60	5	2	28	1095	0
0.595	1	2	60	6	1	28	1095	0
0.595	1	1	60	6	2	28	1095	0
0.596	1	2	60	7	1	28	1095	0
0.596	1	1	60	7	2	28	1095	0
0.597	1	2	60	8	1	28	1095	0
0.597	1	1	60	8	2	28	1095	0
0.598	1	2	60	9	1	28	1095	0
0.598	1	1	60	9	2	28	1095	0
0.599	1	2	60	10	1	28	1095	0
0.599	1	1	60	10	2	28	1095	0
0.6	1	2	61	1	1	28	1095	0
0.6	1	1	61	1	2	28	1095	0
0.601	1	2	61	2	1	28	1095	0
0.601	1	1	61	2	2	28	1095	0
0.602	1	2	61	3	1	28	1095	0
0.602	1	1	61	3	2	28	1095	0
0.603	1	2	61	4	1	28	1095	0
0.603	1	1	61	4	2	28	1095	0
0.604	1	2	61	5	1	28	1095	0
0.604	1	1	61	5	2	28	1095	0
0.605	1	2	61	6	1	28	1095	0
0.605	1	1	61	6	2	28	1095	0
0.606	1	2	61	7	1	28	1095	0
0.606	1	1	61	7	2	28	1095	0
0.607	1	2	61	8	1	28	1095	0
0.607	1	1	61	8	2	28	1095	0
0.608	1	2	61	9	1	28	1095	0
0.608	1	1	61	9	2	28	1095	0
0.609	1	2	61	10	1	28	1095	0
0.609	1	1	61	10	2	28	1095	0
0.61	1	2	62	1	1	28	1095	0
0.61	1	1	62	1	2	28	1095	0
0.611	1	2	62	2	1	28	1095	0
0.611	1	1	62	2	2	28	1095	0
0.612	1	2	62	3	1	28	1095	0
0.612	1	1	62	3	2	28	1095	0
0.613	1	2	62	4	1	28	1095	0
0.613	1	1	62	4	2	28	1095	0
0.614	1	2	62	5	1	28	1095	0
0.614	1	1	62	5	2	28	1095	0
0.615	1	2	62	6	1	28	1095	0
0.615	1	1	62	6	2	28	1095	0
0.616	1	2	62	7	1	28	1095	0
0.616	1	1	62	7	2	28	1095	0
0.617	1	2	62	8	1	28	1095	0
0.617	1	1	62	8	2	28	1095	0
0.618	1	2	62	9	1	28	1095	0
0.618	1	1	62	9	2	28	1095	0
0.619	1	2	62	10	1	28	1095	0
0.619	1	1	62	10	2	28	1095	0
0.62	1	2	63	1	1	28	1095	0
0.62	1	1	63	1	2	28	1095	0
0.621	1	2	63	2	1	28	1095	0
0.621	1	1	63	2	2	28	1095	0
0.622	1	2	63	3	1	28	1095	0
0.622	1	1	63	3	2	28	1095	0
0.623	1	2	63	4	1	28	1095	0
0.623	1	1	63	4	2	28	1095	0
0.624	1	2	63	5	1	28	1095	0
0.624	1	1	63	5	2	28	1095	0
0.625	1	2	63	6	1	28	1095	0
0.625	1	1	63	6	2	28	1095	0
0.626	1	2	63	7	1	28	1095	0
0.626	1	1	63	7	2	28	1095	0
0.627	1	2	63	8	1	28	1095	0
0.627	1	1	63	8	2	28	1095	0
0.628	1	2	63	9	1	28	1095	0
0.628	1	1	63	9	2	28	1095	0
0.629	1	2	63	10	1	28	1095	0
0.629	1	1	63	10	2	28	1095	0
0.63	1	2	64	1	1	28	1095	0
0.63	1	1	64	1	2	28	1095	0
0.631	1	2	64	2	1	28	1095	0
0.631	1	1	64	2	2	28	1095	0
0.632	1	2	64	3	1	28	1095	0
0.632	1	1	64	3	2	28	1095	0
0.633	1	2	64	4	1	28	1095	0
0.633	1	1	64	4	2	28	1095	0
0.634	1	2	64	5	1	28	1095	0
0.634	1	1	64	5	2	28	1095	0
0.635	1	2	64	6	1	28	1095	0
0.635	1	1	64	6	2	28	1095	0
0.636	1	2	64	7	1	28	1095	0
0.636	1	1	64	7	2	28	1095	0
0.637	1	2	64	8	1	28	1095	0
0.637	1	1	64	8	2	28	1095	0
0.638	1	2	64	9	1	28	1095	0
0.638	1	1	64	9	2	28	1095	0
0.639	1	2	64	10	1	28	1095	0
0.639	1	1	64	10	2	28	1095	0
0.64	1	2	65	1	1	28	1095	0
0.64	1	1	65	1	2	28	1095	0
0.641	1	2	65	2	1	28	1095	0
0.641	1	1	65	2	2	28	1095	0
0.642	1	2	65	3	1	28	1095	0
0.642	1	1	65	3	2	28	1095	0
0.643	1	2	65	4	1	28	1095	0
0.643	1	1	65	4	2	28	1095	0
0.644	1	2	65	5	1	28	1095	0
0.644	1	1	65	5	2	28	1095	0
0.645	1	2	65	6	1	28	1095	0
0.645	1	1	65	6	2	28	1095	0
0.646	1	2	65	7	1	28	1095	0
0.646	1	1	65	7	2	28	1095	0
0.647	1	2	65	8	1	28	1095	0
0.647	1	1	65	8	2	28	1095	0
0.648	1	2	65	9	1	28	1095	0
0.648	1	1	65	9	2	28	1095	0
0.649	1	2	65	10	1	28	1095	0
0.649	1	1	65	10	2	28	1095	0
0.65	1	2	66	1	1	28	1095	0
0.65	1	1	66	1	2	28	1095	0
0.651	1	2	66	2	1	28	1095	0
0.651	1	1	66	2	2	28	1095	0
0.652	1	2	66	3	1	28	1095	0
0.652	1	1	66	3	2	28	1095	0
0.653	1	2	66	4	1	28	1095	0
0.653	1	1	66	4	2	28	1095	0
0.654	1	2	66	5	1	28	1095	0
